base-files - 158-unknown
netifd - 2021-01-09-753c351b-1
opkg - 2019-01-18-7708a01a-1
panel-ap-setup - 1
ppp - 2.4.7-6
ppp-mod-pppoe - 2.4.7-6
ppp-mod-pppol2tp - 2.4.7-6
ppp-mod-pptp - 2.4.7-6
procd - 2020-03-07-09b9bd82-1
relayd - 2020-04-25-f4d759be-1
resolveip - 2
rpcd - 2021-01-06-ea7f4717-1
swconfig - 10
ubox - 2019-06-16-4df34a4d-3
ubus - 2021-07-01-38c7fdd8-1
ubusd - 2021-07-01-38c7fdd8-1
uci - 2021-04-14-5
uclient-fetch - 2021-05-14-6a6011df-1
uhttpd - 2021-03-21-15346de8-2
uhttpd-mod-ubus - 2021-03-21-15346de8-2
usb-modeswitch - 2017-12-19-f40f84c27534159066c94dadc0c08e0b255c3e26
usbutils - 007-10
usign - 2019-08-06-5a52b379-1
wget - 1.20.3-2
wireless-regdb - 2021.04.21-1
wpad-mesh-openssl - 2023-06-22-599d00be-1.2p
zlib - 1.2.8-1
